Grid_ID,CNN_PCA_01,CNN_PCA_02,CNN_PCA_03,CNN_PCA_04,CNN_PCA_05,CNN_PCA_06,CNN_PCA_07,CNN_PCA_08,CNN_PCA_09,CNN_PCA_10,CNN_PCA_11,CNN_PCA_12,CNN_PCA_13,CNN_PCA_14,CNN_PCA_15,CNN_PCA_16,CNN_PCA_17,CNN_PCA_18,CNN_PCA_19,CNN_PCA_20,CNN_PCA_21,CNN_PCA_22,CNN_PCA_23,CNN_PCA_24,Y_Target,image_file
site3_113.png_X256_Y256,0.15080622,0.23634776,0.37179694,0.17073353,0.6370367,0.38526782,0.2867501,0.5057594,0.557992,0.4661588,0.50379544,0.1706044,0.21465017,0.55271626,0.34607506,0.5433926,0.40287185,0.51073813,0.4600413,0.49134922,0.5271198,0.53650284,0.42775238,0.5081075,0,site3_113.png
site3_117.png_X0_Y0,0.021005958,0.23753798,0.3758925,0.13627267,0.74425393,0.43380773,0.33264938,0.60959655,0.26716214,0.70164955,0.49057928,0.5550523,0.41855606,0.67699915,0.41526547,0.45036602,0.5588904,0.532026,0.53099865,0.44431365,0.48117092,0.54188454,0.4986253,0.36319575,0,site3_117.png
site3_117.png_X256_Y0,0.18251708,0.21753635,0.3957473,0.11557904,0.6980949,0.37745222,0.34250712,0.5818855,0.3562011,0.50769687,0.5726247,0.35005537,0.48027658,0.6199187,0.6049161,0.46036667,0.47557676,0.49737397,0.5196794,0.52164984,0.48984435,0.6249034,0.54170763,0.40077245,1,site3_117.png
site3_117.png_X0_Y256,0.11365226,0.2638092,0.39961502,0.27023754,0.63839173,0.3911086,0.28617835,0.42411342,0.42093223,0.4835235,0.566283,0.31621253,0.3181907,0.5227134,0.5529821,0.43061092,0.5599289,0.4030249,0.54042727,0.40113547,0.45549107,0.46374783,0.49523014,0.4472418,0,site3_117.png
site3_117.png_X256_Y256,0.1880025,0.22228722,0.38133004,0.16188481,0.52983063,0.3379682,0.23691477,0.48812938,0.61619985,0.3592474,0.540471,0.25082654,0.17958888,0.6130344,0.47078055,0.504205,0.46732917,0.43756306,0.5468383,0.4890942,0.45069283,0.68685204,0.44136512,0.3860668,0,site3_117.png
site3_143.png_X0_Y0,0.24914783,0.31304348,0.3532067,0.17947082,0.53147304,0.42428386,0.23781666,0.6447948,0.48979566,0.43692905,0.65275246,0.32471386,0.28434467,0.54017997,0.36636803,0.4760869,0.47555688,0.47419214,0.5165225,0.4786934,0.42241696,0.6585728,0.418972,0.32031897,0,site3_143.png
site3_143.png_X256_Y0,0.44970438,0.48094842,0.25870007,0.19084117,0.29256523,0.48588216,0.2969078,0.63438815,0.3898106,0.3366955,0.58940953,0.316124,0.33379534,0.7180142,0.29407585,0.42915422,0.5233485,0.70128894,0.32135135,0.39322093,0.42766204,0.38186473,0.76955754,0.4540948,2,site3_143.png
site3_143.png_X0_Y256,0.19378002,0.28685915,0.37615046,0.16968149,0.5408158,0.3830387,0.28768647,0.5530221,0.4253211,0.46648383,0.62072766,0.31541693,0.2358464,0.4965396,0.4784281,0.49137428,0.49588534,0.535355,0.46192744,0.4958943,0.41787428,0.671371,0.43290445,0.39120868,0,site3_143.png
site3_143.png_X256_Y256,0.18124479,0.2815439,0.3735086,0.19628257,0.5485307,0.41908777,0.26723552,0.511476,0.5242759,0.44418374,0.48853016,0.27017164,0.23362255,0.5991233,0.4871607,0.4569034,0.5051744,0.5584667,0.4871954,0.43094847,0.44467276,0.6332287,0.4087669,0.3319601,0,site3_143.png
site3_144.png_X0_Y0,0.09777662,0.21742919,0.4009114,0.18451834,0.6477475,0.41643798,0.27970308,0.546474,0.36003906,0.5838085,0.53924364,0.47733223,0.28193027,0.5657,0.39952883,0.473421,0.5219082,0.37841624,0.50182825,0.4771693,0.5783287,0.45399353,0.42360684,0.40286806,0,site3_144.png
site3_144.png_X256_Y0,0.53577155,0.27806833,0.35856277,0.2926618,0.57922506,0.34457132,0.29649445,0.5625089,0.3611719,0.73809755,0.8385086,0.28453887,0.5165046,0.33716413,0.48489153,0.37870684,0.47346464,0.36152914,0.6220581,0.41907465,0.4590861,0.5038877,0.44704866,0.4410395,1,site3_144.png
site3_144.png_X0_Y256,0.104988515,0.1949765,0.393983,0.16470373,0.67152816,0.4219086,0.3358854,0.45569018,0.52407074,0.63157344,0.5155262,0.40956554,0.3176908,0.5933253,0.38960883,0.43834457,0.46888065,0.5273664,0.44759673,0.4069444,0.72067094,0.49940938,0.36766434,0.46076462,0,site3_144.png
site3_144.png_X256_Y256,0.06313634,0.26605046,0.35993296,0.13820373,0.6807129,0.43789485,0.37324277,0.5841,0.30469614,0.90395856,0.45886943,0.527501,0.54757404,0.7189816,0.6097925,0.36367643,0.3894152,0.66543365,0.53429264,0.36174,0.4050028,0.6169574,0.47766152,0.36617765,0,site3_144.png
site3_206.png_X0_Y0,0.094837844,0.17007683,0.38511834,0.11578733,0.74725217,0.39224786,0.33981365,0.52645886,0.60219204,0.52821606,0.4805598,0.33741227,0.28040636,0.5546668,0.31599623,0.5267668,0.42055938,0.6024091,0.43661052,0.42619824,0.7138104,0.46043676,0.36317974,0.52013904,0,site3_206.png
site3_206.png_X256_Y0,0.062167376,0.20997094,0.39737862,0.16493306,0.76021266,0.40108463,0.34122717,0.618584,0.3486683,0.6095684,0.506531,0.45031428,0.32311103,0.6070587,0.47586986,0.49760506,0.56947404,0.52380645,0.49677423,0.4077524,0.5937035,0.55721164,0.42051506,0.42789218,0,site3_206.png
site3_206.png_X0_Y256,0.3213526,0.3135008,0.39753535,0.28355432,0.5740677,0.40725914,0.16407135,0.5406942,0.5096391,0.37333232,0.4298708,0.16306928,0.2249569,0.42339188,0.41267544,0.56877774,0.41819572,0.5379442,0.5489739,0.323544,0.40183765,0.5401334,0.4837318,0.19029705,1,site3_206.png
site3_206.png_X256_Y256,0.76700866,0.41489395,0.47439772,0.2887358,0.62999386,0.5168858,0.2560393,0.62504935,0.47212845,0.15995798,0.69993174,0.37696776,0.3139728,0.31083527,0.27837816,0.42799488,0.28346255,0.70609295,0.51957285,0.41317755,0.26541957,0.3932622,0.8490104,0.30172426,1,site3_206.png
site3_236.png_X0_Y0,0.09187432,0.2284605,0.3867621,0.1360752,0.7294537,0.41760573,0.34442532,0.60765725,0.4362059,0.5935876,0.56154317,0.30636227,0.3163447,0.53395754,0.4578701,0.47231802,0.47821477,0.572701,0.48903546,0.4945542,0.5202699,0.58956414,0.40194362,0.53686285,0,site3_236.png
site3_236.png_X256_Y0,0.07466453,0.25369847,0.3730271,0.15263689,0.656806,0.37905785,0.26096395,0.60836077,0.44491786,0.5086085,0.42669562,0.27734852,0.32699722,0.5695033,0.37657622,0.5169667,0.37116954,0.46907473,0.52310705,0.42212054,0.42759883,0.5620361,0.48950177,0.47874743,0,site3_236.png
site3_236.png_X0_Y256,0.6010567,0.29458407,0.44679335,0.08075461,0.5075717,0.47401726,0.20264846,0.9646759,0.38573045,0.48132262,0.6308452,0.4399219,0.2137149,0.5349682,0.5141545,0.50250316,0.3856118,0.5032208,0.53033924,0.419433,0.40575755,0.4780238,0.5534104,0.27515095,1,site3_236.png
site3_236.png_X256_Y256,0.082081765,0.20762455,0.36606467,0.07018149,0.74814767,0.44532603,0.37508318,0.53634614,0.5149408,0.6930014,0.5435486,0.36338487,0.3816789,0.6424331,0.42764044,0.4322061,0.43807685,0.6186363,0.4478994,0.45179194,0.5864113,0.6086017,0.418255,0.50040066,0,site3_236.png
site3_237.png_X0_Y0,0.29384348,0.17355283,0.4469232,0.21451499,0.5788959,0.2850502,0.25726494,0.53534895,0.55635726,0.54925007,0.41892272,0.23667172,0.17738745,0.47418317,0.5040086,0.5530721,0.5021701,0.5653255,0.5055114,0.43458456,0.4472018,0.53145975,0.49891216,0.285841,0,site3_237.png
site3_237.png_X256_Y0,0.5185691,0.5347033,0.27413028,0.31096113,0.60031986,0.46993262,0.23312153,0.6190868,0.4618891,0.38827753,0.74473363,0.3641168,0.37687382,0.5646257,0.43193543,0.25961274,0.30498832,0.5303637,0.40884343,0.37343174,0.45291346,0.6959348,0.5727032,0.25646976,1,site3_237.png
site3_237.png_X0_Y256,0.088548735,0.27985185,0.37847388,0.3083156,0.5622497,0.3501703,0.27239656,0.5164404,0.49297196,0.46264738,0.40147763,0.40472457,0.21909228,0.54489416,0.39721596,0.49156064,0.44491884,0.44658253,0.4702526,0.33144242,0.54913694,0.5449295,0.48419896,0.362562,0,site3_237.png
site3_237.png_X256_Y256,0.5182476,0.18035203,0.44253427,0.20104426,0.5915354,0.41183645,0.2516673,0.64197063,0.5456323,0.45232505,0.64714855,0.25959668,0.16376024,0.35674506,0.4640988,0.36906803,0.5438724,0.53679806,0.5874845,0.46154797,0.30086824,0.43515697,0.50984067,0.1877147,1,site3_237.png
site3_266.png_X0_Y0,0.06138818,0.24725637,0.3753671,0.12073642,0.7343805,0.4164475,0.3787363,0.64741635,0.25088084,0.9035913,0.5294745,0.49902743,0.53147984,0.66546667,0.5882409,0.3591592,0.45044702,0.7007045,0.48658043,0.38325262,0.3922122,0.6386688,0.50453645,0.45549205,0,site3_266.png
site3_266.png_X256_Y0,0.03646928,0.25018817,0.36694345,0.15043259,0.74228233,0.44554892,0.35479054,0.64802927,0.16997594,0.8344803,0.55280113,0.53759867,0.5093889,0.6457699,0.47260943,0.37950516,0.48240507,0.53883547,0.5036345,0.47822505,0.43084547,0.57843083,0.48201984,0.43736443,0,site3_266.png
site3_266.png_X0_Y256,0.09742905,0.24055004,0.3824217,0.09536889,0.779724,0.47786555,0.42028752,0.67872655,0.24337329,0.9447328,0.5548247,0.5070308,0.5573079,0.7090829,0.67021,0.3927554,0.5199356,0.69905704,0.43648797,0.43809763,0.4226996,0.6869655,0.49940613,0.37372628,0,site3_266.png
site3_266.png_X256_Y256,0.031193972,0.2648502,0.37963906,0.11877346,0.79980385,0.47348917,0.37924355,0.70183486,0.13120458,0.893856,0.5009418,0.50915945,0.5574423,0.645548,0.5392355,0.3780738,0.51068574,0.6746968,0.45941207,0.4778501,0.4514686,0.5235622,0.5279127,0.41931325,0,site3_266.png
site3_267.png_X0_Y0,0.10477127,0.24291308,0.3761323,0.12805554,0.6597266,0.5544649,0.31285474,0.5103476,0.348085,0.6884357,0.5215526,0.36660013,0.42633322,0.55653363,0.47389922,0.46881813,0.4727181,0.5946513,0.41217393,0.5274737,0.46405113,0.6309404,0.47440794,0.606238,1,site3_267.png
site3_267.png_X256_Y0,0.15646935,0.23647115,0.3808099,0.16559608,0.5844679,0.38320518,0.24599048,0.55638653,0.49097666,0.49520105,0.54219,0.30130696,0.19370751,0.504953,0.31980884,0.48976257,0.4231706,0.43343043,0.5191408,0.50688833,0.34052593,0.49057522,0.47097856,0.4857793,0,site3_267.png
site3_267.png_X0_Y256,0.37529367,0.420097,0.2977525,0.15050697,0.49057367,0.4954143,0.2882007,0.6991774,0.4637885,0.37953174,0.6687317,0.27047926,0.39928997,0.66578835,0.47317395,0.3420263,0.43160692,0.5903438,0.48983905,0.42119485,0.54651034,0.48787522,0.59495795,0.31210005,1,site3_267.png
site3_267.png_X256_Y256,0.14519946,0.19540173,0.3922734,0.18041463,0.6850858,0.38641322,0.30534813,0.5029018,0.5330522,0.4773576,0.5091628,0.2267035,0.33840138,0.50159365,0.35051423,0.46257317,0.5268777,0.49980322,0.5136545,0.4686003,0.50825197,0.5223299,0.459952,0.453514,0,site3_267.png
site3_268.png_X0_Y0,0.09961192,0.22357532,0.3861833,0.18520713,0.62021285,0.36403534,0.33106866,0.53637904,0.5300632,0.490589,0.5227278,0.3809066,0.19960704,0.5152624,0.3612586,0.4889761,0.50861865,0.50153106,0.54817903,0.40656877,0.557285,0.5064509,0.41278803,0.38661405,0,site3_268.png
site3_268.png_X256_Y0,0.17057204,0.22695343,0.43979448,0.4012467,0.5199152,0.49283478,0.28768456,0.42216218,0.47686473,0.5107628,0.5367813,0.28384894,0.27066743,0.4267761,0.46912417,0.3982625,0.4619036,0.38617602,0.43580896,0.36988917,0.5450928,0.27620932,0.4448399,0.28764862,0,site3_268.png
site3_268.png_X0_Y256,0.14779308,0.20287152,0.38183966,0.18872024,0.6139839,0.35641515,0.3625532,0.47718057,0.6119803,0.46680775,0.52642184,0.29752892,0.2265692,0.57738096,0.38712895,0.4243609,0.5238785,0.5089937,0.4529683,0.48325247,0.56563073,0.56681573,0.43614453,0.4421304,0,site3_268.png
site3_268.png_X256_Y256,0.22546934,0.21527001,0.40573305,0.23849712,0.6042061,0.40471262,0.29684332,0.4996191,0.45342627,0.54074603,0.56004727,0.26534706,0.15738234,0.52926993,0.5799571,0.5145423,0.45713395,0.4566794,0.39851868,0.41578427,0.56810176,0.47750258,0.3828569,0.28970003,0,site3_268.png
site3_292.png_X0_Y0,0.039591998,0.26285762,0.3417656,0.057418942,0.66423064,0.55215853,0.38112232,0.43519458,0.19753385,0.83849543,0.6298971,0.5266045,0.505691,0.6540541,0.42517257,0.429793,0.5622337,0.65579844,0.439452,0.565629,0.40559062,0.58601457,0.42458922,0.41627264,0,site3_292.png
site3_292.png_X256_Y0,0.07930151,0.23269089,0.37920526,0.13462105,0.6752072,0.48351595,0.33213967,0.50579673,0.32614243,0.7938844,0.56523067,0.45189136,0.4208812,0.6009712,0.5310448,0.430819,0.48027754,0.6638576,0.46350008,0.48778322,0.48027518,0.60830986,0.39112592,0.3337037,0,site3_292.png
site3_292.png_X0_Y256,0.050100863,0.22560373,0.3880196,0.08688557,0.69085133,0.5480321,0.3292599,0.51155686,0.22444245,0.7996874,0.6140202,0.5007877,0.34342867,0.57753253,0.46258602,0.43947133,0.5343445,0.5520339,0.49244705,0.54523504,0.5432768,0.54733217,0.49572954,0.5103835,0,site3_292.png
site3_292.png_X256_Y256,0.035719365,0.2476986,0.37067086,0.15381807,0.7130593,0.41196606,0.28294104,0.59678537,0.25741577,0.7000126,0.46890032,0.4770391,0.43665725,0.6545304,0.5133437,0.4942406,0.4204974,0.59692466,0.5505737,0.36802995,0.46839032,0.5824791,0.45305547,0.39472792,0,site3_292.png
site3_294.png_X0_Y0,0.06585427,0.29088745,0.3818149,0.16776113,0.7406316,0.42429608,0.38314554,0.71762204,0.16128504,0.85197353,0.48844132,0.48085582,0.5053107,0.5686307,0.59253514,0.37656212,0.4728014,0.6123628,0.5356564,0.44393194,0.48845378,0.47287253,0.55599517,0.44936705,0,site3_294.png
site3_294.png_X256_Y0,0.069668636,0.27574688,0.36241943,0.1363203,0.70823306,0.44740573,0.4015929,0.6357201,0.24339664,0.88318795,0.554166,0.49336505,0.43254665,0.6296735,0.5888802,0.37897658,0.4701751,0.64181775,0.48020384,0.4515619,0.42217898,0.617452,0.47161978,0.365544,0,site3_294.png
site3_294.png_X0_Y256,0.022487134,0.2424311,0.3766105,0.14295088,0.7141863,0.44852227,0.32645306,0.59376585,0.12662464,0.77848387,0.6302693,0.5833234,0.3724364,0.5878178,0.42877436,0.48509422,0.4928081,0.5151143,0.58968335,0.49060604,0.5854763,0.5132248,0.4963848,0.509517,0,site3_294.png
site3_294.png_X256_Y256,0.13929695,0.19482128,0.39797828,0.13727471,0.71632534,0.4438702,0.33365673,0.56948584,0.39146078,0.5990042,0.66996086,0.36097646,0.23094,0.5738469,0.42624244,0.5480683,0.51331896,0.4995479,0.47253016,0.5053952,0.6097324,0.56457376,0.41714066,0.42479917,0,site3_294.png
site3_298.png_X0_Y0,0.26165318,0.27664268,0.43299782,0.28518748,0.63625395,0.45217186,0.34298354,0.4693209,0.34324318,0.5393325,0.5934302,0.41810554,0.17878586,0.44872352,0.5563114,0.47699675,0.42277497,0.47075793,0.54568934,0.38242698,0.47492304,0.40653554,0.63549954,0.41062415,1,site3_298.png
site3_298.png_X256_Y0,0.48737538,0.3410197,0.37906033,0.1715241,0.4453544,0.34319976,0.32210472,0.58464193,0.5678551,0.47429556,0.5869847,0.28753883,0.12650168,0.45689344,0.43452573,0.40737,0.50284785,0.55882794,0.5432918,0.5471984,0.30807835,0.40816694,0.56832963,0.34036174,1,site3_298.png
site3_298.png_X0_Y256,0.49845386,0.38828778,0.35877687,0.17134613,0.35425603,0.39713806,0.3207313,0.7801058,0.4986799,0.40596414,0.6483776,0.35185787,0.25017494,0.59126693,0.45597437,0.37864807,0.5097342,0.5299603,0.35431832,0.5180948,0.42219558,0.50531,0.6424188,0.33496276,2,site3_298.png
site3_298.png_X256_Y256,0.28976372,0.22112942,0.40879726,0.12445772,0.523567,0.37743706,0.26906544,0.6279624,0.5673727,0.44995043,0.48920536,0.1675922,0.20306583,0.578061,0.4819785,0.4446939,0.50588715,0.4866294,0.4923521,0.52960736,0.42282605,0.5897698,0.5031235,0.41031575,1,site3_298.png
site3_299.png_X0_Y0,0.38832527,0.262877,0.4317107,0.19906522,0.36510196,0.39051372,0.28072584,0.5156387,0.51064324,0.41130546,0.50358266,0.37788287,0.12734818,0.5508863,0.6301096,0.41927943,0.5041988,0.51205057,0.4731325,0.4582905,0.44040892,0.6063177,0.50790197,0.13965783,1,site3_299.png
site3_299.png_X256_Y0,0.21593887,0.19637185,0.43183687,0.20221184,0.61697185,0.43609,0.3048184,0.47373426,0.57453525,0.47276956,0.5047736,0.2018721,0.18899843,0.4407094,0.52547175,0.5060749,0.38267794,0.49313945,0.44289494,0.4107645,0.46952295,0.51220685,0.43776643,0.41643307,0,site3_299.png
site3_299.png_X0_Y256,0.21215081,0.24182406,0.40879864,0.27037644,0.49634773,0.32488787,0.210512,0.43938756,0.47963205,0.3767082,0.45655727,0.3905059,0.2453154,0.48875195,0.4691463,0.47618145,0.5614486,0.52694374,0.59026307,0.42300352,0.5460997,0.57641846,0.5019464,0.25948608,0,site3_299.png
site3_299.png_X256_Y256,0.32879066,0.26249006,0.42763215,0.11915761,0.5308047,0.44930005,0.26865348,0.64245355,0.45996734,0.4201694,0.44929692,0.21169445,0.14102891,0.54205406,0.5611434,0.4732616,0.44994602,0.5091324,0.44449705,0.46095747,0.44120577,0.6261995,0.41630265,0.3472752,1,site3_299.png
site3_320.png_X0_Y0,0.080130085,0.1750093,0.38526717,0.04820347,0.79989517,0.51012903,0.3835302,0.56045496,0.3052315,0.71131873,0.6766764,0.4503906,0.4197117,0.5639903,0.4696732,0.47718227,0.5267535,0.6050641,0.48171186,0.5833389,0.5330565,0.55328447,0.3678929,0.5308285,0,site3_320.png
site3_320.png_X256_Y0,0.4669046,0.28831792,0.3659062,0.015299946,0.46848774,0.5005125,0.40159097,0.6052844,0.43671572,0.55347943,0.6025044,0.37566295,0.1456205,0.6448623,0.5909121,0.28106022,0.40844455,0.55765176,0.42080614,0.6270597,0.5080748,0.58346474,0.46411443,0.3307477,1,site3_320.png
site3_320.png_X0_Y256,0.11237268,0.24088459,0.39447337,0.16932884,0.6626294,0.42668888,0.33414745,0.5009979,0.33625665,0.57350266,0.596832,0.3008647,0.3777751,0.5133793,0.4615639,0.49357492,0.38448727,0.45908162,0.45628455,0.54835886,0.5232613,0.5064589,0.45450464,0.61047447,0,site3_320.png
site3_320.png_X256_Y256,0.3999287,0.23858628,0.4216952,0.16104767,0.5803974,0.34714442,0.3009806,0.7242568,0.4598688,0.5156506,0.52251065,0.15416169,0.17770281,0.33401603,0.59019995,0.41176122,0.4395835,0.52732444,0.54479384,0.48953193,0.4442211,0.62442786,0.52120847,0.4013459,1,site3_320.png
site3_321.png_X0_Y0,0.12578349,0.2544169,0.36885256,0.14095688,0.6473844,0.44120678,0.32588664,0.4872194,0.43746737,0.6243475,0.60343724,0.33277798,0.23310624,0.5957733,0.55808103,0.39977002,0.39505252,0.525854,0.49852473,0.47334218,0.49157432,0.69206864,0.45037955,0.4321086,0,site3_321.png
